0.6054726,0.0000000,0.0028854,0.2813198,0.0010111,0.1149045,0.2857143,0.5984252,0.4347826,0.0284841,0.4250000,0.1834734,0.0317460,0.2463768,0.2884615,0.0289036,0.0015608
0.7664415,nan,nan,0.4565568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1856275,nan,nan
0.0985921,nan,0.0027253,0.1956191,0.0003861,0.1149045,0.1948052,nan,0.0091218,0.1723810,0.2765957,0.0779905,nan,0.0645161,0.0139037,0.0306249,nan
0.0078505,nan,nan,0.0002637,0.0001604,0.0258048,0.0034795,0.0006920,0.0012533,0.0055714,0.0013830,0.0102691,0.0019189,0.0010904,0.1420118,0.0059124,0.0001605
0.5845763,nan,0.0090975,0.3376932,0.0005872,0.0057851,0.0055556,0.0346821,0.0085837,0.8748868,0.0055402,0.0295699,nan,0.0049020,0.1249447,0.7445152,nan
0.0990998,0.0159374,0.0028854,0.1961196,0.0004815,0.1149045,0.0097193,0.0045084,0.0090928,0.1752138,0.0054082,0.0779905,nan,0.0194061,0.1599270,0.1764335,0.0004815
0.0971022,nan,0.0028071,0.1961196,0.0004815,0.0160091,0.2732919,0.5494505,0.4069767,0.0196544,0.4190476,0.0205656,nan,0.1931464,0.0778110,0.1655172,0.0010533
0.2011385,0.0072847,0.0083360,0.1812777,0.0005954,0.1806414,0.1900937,0.0103023,0.0110222,0.0733396,0.0071381,0.3269856,0.0035225,0.0068507,0.2497981,0.1487428,0.0004202
0.1733095,0.0160000,0.0026470,0.2075028,0.0004911,0.3077621,0.3968254,0.3605150,0.3916084,0.1717745,0.3309859,0.1457055,0.0377358,0.1069787,0.2359232,0.1730891,0.0005365
0.5734657,nan,0.0049482,0.2001560,0.0004825,0.0524095,0.5652174,0.6666667,0.3587444,0.0240085,0.6301370,0.1442155,nan,0.0651789,0.3903537,0.0773646,0.0004114
