0.9478700,0.9955400,0.9985600,0.8912800,0.9997600,0.9390500,0.9957500,0.9982300,0.9958900,0.8843300,0.9970800,0.9594200,0.9981100,0.9902000,0.9130900,0.5909200,0.9997600
0.97363,0.99554,0.99856,0.74271,0.99904,0.93905,0.99512,0.99774,0.99543,0.90398,0.99729,0.95942,0.99811,0.99020,0.80717,0.90325,0.89381
0.05185,0.99554,0.00136,0.10984,0.16876,0.06095,0.99564,0.99774,0.00776,0.09827,0.99764,0.04058,0.99518,0.98791,0.90852,0.10654,0.89477
0.45222,0.49548,0.49854,0.39150,0.49982,0.45356,0.49691,0.49809,0.49607,0.40732,0.49800,0.46501,0.49900,0.49074,0.49648,0.40676,0.49990
0.94747,0.99422,0.78143,0.77646,0.31693,0.91547,0.98742,0.99420,0.99188,0.97610,0.98752,0.92390,0.99707,0.97179,0.70538,0.93756,0.91965
0.05213,0.45479,0.00144,0.10872,0.00024,0.06095,0.00488,0.00226,0.00457,0.09602,0.00271,0.04058,0.99811,0.00980,0.08691,0.09675,0.00024
0.05213,0.99554,0.00201,0.10872,0.00024,0.93954,0.99589,0.99857,0.99642,0.59974,0.99788,0.95984,0.99811,0.99100,0.89300,0.10429,0.69551
0.78035,0.17957,0.75174,0.30361,0.19160,0.59970,0.97875,0.74623,0.47042,0.82868,0.47780,0.94909,0.50044,0.65748,0.72348,0.08302,0.04531
0.51720,0.99506,0.00197,0.17506,0.01975,0.94642,0.99466,0.99482,0.99389,0.09609,0.99340,0.96086,0.99795,0.92575,0.87950,0.09737,0.10278
0.93278,0.94923,0.56419,0.13589,0.00233,0.70018,0.99649,0.99847,0.99498,0.36163,0.99812,0.96206,0.99811,0.90831,0.90594,0.33830,0.02492
